City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,23.94,83,100,0.45,US,1723250756
1,macau,22.2006,113.5461,32.06,89,20,4.12,MO,1723250757
2,malpica,43.3228,-8.8105,18.88,65,38,5.25,ES,1723250757
3,bilibino,68.0546,166.4372,16.39,38,100,5.36,RU,1723250757
4,avarua,-21.2078,-159.775,23.03,56,20,3.09,CK,1723250543
5,iqaluit,63.7506,-68.5145,11.85,81,40,4.12,CA,1723250758
6,tapes,-30.6733,-51.3958,10.66,82,81,6.33,BR,1723250758
7,grytviken,-54.2811,-36.5092,-10.24,77,100,1.97,GS,1723250758
8,waitangi,-43.9535,-176.5597,12.12,71,100,1.79,NZ,1723250758
9,blackmans bay,-43.0167,147.3167,14.74,62,65,3.34,AU,1723250759
10,sao joao da barra,-21.6403,-41.0511,22.05,86,1,1.31,BR,1723250759
11,yaren,-0.5472,166.916,28.42,74,17,3.39,NR,1723250759
12,moyynkum,44.2914,72.9469,25.94,39,0,5.39,KZ,1723250759
13,magadan,59.5667,150.8,15.4,85,19,3.57,RU,1723250759
14,invercargill,-46.4,168.35,9.45,77,100,1.79,NZ,1723250760
15,adamstown,-25.066,-130.1015,19.27,70,89,5.39,PN,1723250760
16,puerto ayora,-0.7393,-90.3518,19.75,90,100,2.68,EC,1723250760
17,kafue,-15.7691,28.1814,15.89,33,0,1.72,ZM,1723250760
18,fort bragg,35.139,-79.006,29.85,81,75,1.54,US,1723250761
19,klyuchi,52.2667,79.1667,17.59,94,92,3.66,RU,1723250761
20,village of oak creek (big park),34.7809,-111.7623,35.42,26,0,3.6,US,1723250761
21,haiku-pauwela,20.9219,-156.3051,27.01,69,20,10.8,US,1723250761
22,whitehorse,60.7161,-135.0538,21.12,57,75,5.66,CA,1723250320
23,mahina,-17.5065,-149.489,26.87,69,40,9.77,PF,1723250762
24,puerto natales,-51.7236,-72.4875,1.81,99,100,0.27,CL,1723250762
25,aasiaat,68.7098,-52.8699,2.6,96,100,1.82,GL,1723250762
26,kone,-21.0595,164.8658,25.64,53,59,2.43,NC,1723250762
27,chonchi,-42.6128,-73.8092,10.07,94,100,2.33,CL,1723250763
28,uturoa,-16.7333,-151.4333,24.32,76,99,5.53,PF,1723250763
29,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,88,75,5.0,RU,1723250763
30,edinburgh of the seven seas,-37.0676,-12.3116,11.71,61,27,13.62,SH,1723250764
31,arraial do cabo,-22.9661,-42.0278,21.98,94,75,2.06,BR,1723250764
32,port mathurin,-19.6833,63.4167,21.96,69,100,9.63,MU,1723250764
33,tura,25.5198,90.2201,24.46,96,76,2.23,IN,1723250764
34,port-aux-francais,-49.35,70.2167,1.92,77,8,16.5,TF,1723250764
35,ciro marina,39.3732,17.126,27.27,60,0,5.62,IT,1723250765
36,ghat,24.9647,10.1728,31.95,17,10,0.77,LY,1723250765
37,north bondi,-33.8824,151.2769,18.79,70,0,2.57,AU,1723250765
38,fortuna,40.5982,-124.1573,15.55,94,100,4.12,US,1723250765
39,tolanaro,-25.0319,46.9987,18.59,93,6,1.64,MG,1723250766
40,margaret river,-33.95,115.0667,17.32,72,0,7.41,AU,1723250766
41,ola,59.5833,151.2833,14.96,86,48,3.87,RU,1723250766
42,numazu,35.1,138.8667,33.34,72,0,1.09,JP,1723250767
43,port pirie,-33.1833,138.0167,16.95,50,71,3.65,AU,1723250767
44,mullovka,54.2,49.4,15.9,98,100,1.57,RU,1723250767
45,al bawiti,28.3492,28.8659,28.59,40,7,3.76,EG,1723250767
46,tarancon,40.0085,-3.0073,25.34,41,0,7.53,ES,1723250767
47,harstad,68.799,16.5293,16.8,85,100,1.89,NO,1723250768
48,udachny,66.4167,112.4,9.16,67,100,5.69,RU,1723250768
49,argo,37.6333,22.7333,25.44,59,0,1.69,GR,1723250768
50,ataq,14.5377,46.8319,24.7,65,100,6.05,YE,1723250769
51,punta arenas,-53.15,-70.9167,3.06,100,100,2.06,CL,1723250769
52,novokruchininskiy,51.7833,113.7667,17.85,44,100,1.42,RU,1723250769
53,mount gambier,-37.8333,140.7667,14.15,73,0,2.35,AU,1723250770
54,niquelandia,-14.4739,-48.4597,21.69,30,90,0.74,BR,1723250770
55,ilulissat,69.2167,-51.1,7.01,87,75,3.09,GL,1723250770
56,ormara,25.2088,64.6357,28.11,82,100,6.65,PK,1723250770
57,ushuaia,-54.8,-68.3,0.81,86,0,2.06,AR,1723250770
58,college,64.8569,-147.8028,16.18,74,75,3.6,US,1723250771
59,port alfred,-33.5906,26.891,14.15,74,16,3.54,ZA,1723250771
60,veraval,20.9,70.3667,27.19,85,75,6.19,IN,1723250771
61,bandarbeyla,9.4942,50.8122,25.29,75,100,11.97,SO,1723250771
62,fale old settlement,-9.3852,-171.2468,27.84,76,12,5.68,TK,1723250772
63,champerico,14.3,-91.9167,29.3,85,100,6.03,GT,1723250772
64,inhambane,-23.865,35.3833,19.82,86,0,4.6,MZ,1723250772
65,kalyandurg,14.5452,77.1055,23.3,86,34,4.88,IN,1723250772
66,betio village,1.358,172.9211,32.02,67,17,1.45,KI,1723250772
67,east london,-33.0153,27.9116,15.75,76,8,2.3,ZA,1723250773
68,vorgashor,67.5833,63.95,12.07,71,100,1.15,RU,1723250773
69,hirara,24.8,125.2833,30.92,89,40,2.57,JP,1723250773
70,kingscliff,-28.2667,153.5667,22.65,64,1,4.63,AU,1723250774
71,baganga,7.5739,126.56,28.93,70,100,1.74,PH,1723250774
72,crucecita,-28.95,-58.9833,7.05,42,0,1.8,AR,1723250774
73,miragoane,18.4423,-73.0876,29.01,76,18,3.33,HT,1723250774
74,dudinka,69.4058,86.1778,12.67,61,0,8.32,RU,1723250775
75,iskateley,67.6803,53.1512,9.92,76,12,2.32,RU,1723250775
76,jinchang,38.4953,102.1739,22.82,32,0,5.06,CN,1723250775
77,hawaiian paradise park,19.5933,-154.9731,27.73,72,0,3.6,US,1723250775
78,waingapu,-9.6567,120.2641,26.75,62,100,5.53,ID,1723250776
79,hidden valley lake,38.808,-122.5583,31.6,17,0,4.26,US,1723250531
80,zaragoza,41.6561,-0.8773,28.6,55,0,5.66,ES,1723250776
81,jamestown,42.097,-79.2353,21.8,80,0,4.63,US,1723250776
82,bikenibeu village,1.3673,173.1241,31.98,62,20,2.57,KI,1723250776
83,lewiston orchards,46.3804,-116.9754,34.28,22,0,0.0,US,1723250777
84,as sulayyil,20.4607,45.5779,36.14,16,100,2.82,SA,1723250777
85,kresttsy,58.2452,32.5165,13.57,88,79,1.86,RU,1723250777
86,camiri,-20.05,-63.5167,7.16,47,0,1.22,BO,1723250777
87,douentza,14.9951,-2.9517,29.95,60,77,1.14,ML,1723250777
88,vanimo,-2.6741,141.3028,30.36,63,4,2.01,PG,1723250778
89,chichicastenango,14.9333,-91.1167,18.63,95,97,1.38,GT,1723250778
90,port elizabeth,-33.918,25.5701,11.16,91,0,0.45,ZA,1723250778
91,yellowknife,62.456,-114.3525,26.34,45,0,6.71,CA,1723250778
92,boundiali,9.5217,-6.4869,21.57,96,85,2.22,CI,1723250779
93,lijiang,26.8688,100.2207,16.83,93,100,1.05,CN,1723250779
94,papatowai,-46.5619,169.4708,11.11,49,100,1.2,NZ,1723250779
95,nuku'alofa,-21.1333,-175.2,25.19,61,75,5.66,TO,1723250779
96,acarau,-2.8856,-40.12,25.54,84,7,7.09,BR,1723250780
97,vidalia,32.2177,-82.4135,30.97,74,0,0.0,US,1723250780
98,sinop,41.7711,34.8709,17.69,56,0,1.39,TR,1723250780
99,ribeira grande,38.5167,-28.7,24.87,81,66,1.79,PT,1723250780
100,ubari,26.5921,12.7805,30.74,28,0,5.22,LY,1723250781
101,liaoyuan,42.9036,125.1358,21.08,94,100,0.89,CN,1723250515
102,steamboat springs,40.485,-106.8317,17.77,75,100,2.68,US,1723250781
103,isafjordur,66.0755,-23.124,7.12,85,100,0.69,IS,1723250781
104,touros,-5.1989,-35.4608,23.92,75,0,6.02,BR,1723250782
105,makokou,0.5738,12.8642,21.44,93,77,1.68,GA,1723250782
106,bredasdorp,-34.5322,20.0403,9.0,86,99,3.54,ZA,1723250782
